PlotKey,TreeKey,SpeciesCode,DBH,TotalHeight,Age_BH
100,4fdd5849-39ad-46c9-89b9-1e2c76667c47,20,9.0,8.4,0.0
100,727d3e75-c56d-4139-9e9b-bbaf2fb6b8de,20,11.9,13.0,0.0
100,0bd9753c-7a48-4f5d-bd99-57764a2851f0,20,10.5,10.8,0.0
100,3ae937f6-6ff3-43dc-a5bc-c6fef3989223,20,8.1,9.7,0.0
100,b7fae9ac-c67a-41d5-ada1-d3a87858b023,20,9.4,9.7,0.0
100,333a7738-9f38-46bf-8964-00ae79f7435a,20,11.5,11.8,0.0
100,0f198339-e997-4126-86ca-569b7bc20049,38,12.3,7.6,0.0
100,69570c45-e711-4f19-8601-8a8cffd63c04,20,14.5,12.0,0.0
100,74a44b75-bb5d-4975-82c0-e52cbcd3e6fe,20,9.7,8.7,0.0
100,4d27d8a4-9dc2-40a2-911b-97d653866447,38,7.6,8.1,0.0
100,607aecff-28a3-44f9-bab4-1d328e088b98,20,10.0,7.2,0.0
100,80c4c55f-127d-4aa4-b3ab-6f23c0f2d1b8,20,9.5,9.9,0.0
100,c768cfd8-6332-4568-8389-e97f0b7a41b6,38,7.2,8.6,0.0
100,bff9541b-2fb9-438a-b570-bf715ab1a7a5,38,16.2,9.6,0.0
100,c751ff67-8e1a-49d1-be70-bf8fc4844ec5,20,10.0,11.1,0.0
100,62e7f2b7-aba3-4176-b384-f4787399143c,20,7.2,8.3,0.0
100,ea6db0a7-8849-4e37-af02-ae244c8ed7d4,20,9.9,8.9,0.0
100,0700fed9-a97c-4f62-8173-98eda5642609,20,16.2,11.0,0.0
100,d8e296a0-9e9c-4399-a124-d2049530b5b9,20,13.2,12.4,0.0
100,edc4044c-9f56-4f29-af21-3f1b60cb7e57,20,8.8,9.1,0.0
100,4fa686db-8777-4c4f-8fb7-da3dd89b8593,20,7.5,8.6,0.0
100,0e3b5773-2d26-4946-9e5a-181d0d2952e1,20,10.9,10.2,0.0
100,00305cb0-04a3-4fa6-b0bd-6f6a3f58b448,20,14.4,11.6,28.0
100,49864861-9b90-4ad7-bf0c-d0689b5eab20,20,18.3,11.5,29.0
100,f4d08448-df0e-42c3-90fd-e4e88c695408,20,8.2,9.6,0.0
100,01bd238e-2a94-4986-8a8b-3865da97f485,20,10.9,10.9,0.0
100,060b2616-b11d-4fac-9281-9b34e0de6665,20,11.8,11.5,0.0
100,e48cf4cb-8fec-42d3-bdf1-802b63d39e83,20,16.6,13.1,0.0
100,e63d8282-50ce-4860-b23b-1de17874fca0,20,9.8,11.7,0.0
100,2f2defc3-7e69-47a2-9820-5084cedf4c08,20,7.4,6.9,0.0
100,f59d517a-10b5-4698-9591-6d92f6501090,20,10.4,9.7,0.0
100,1e7a15e6-811e-48fc-8351-b8f2e1fc57ec,20,9.2,7.6,0.0
100,046f400c-d7dc-4d5d-967d-ba5c176ba753,20,7.9,8.8,0.0
100,4bff0298-ed62-46b1-8e69-b8743f1166c8,20,9.1,8.4,0.0
100,d62075ae-9044-4d56-a97d-ffa993382c0d,20,7.9,9.3,0.0
100,86211230-202e-417d-93d9-b54c27f66f0b,20,9.5,11.3,0.0
100,14dc4436-3079-4c53-b5c3-3eb9ad1817b2,20,8.0,8.6,0.0
100,6f713358-2c7e-44fa-a00d-945c50c0ad64,20,12.4,11.2,0.0
100,140580c0-6a82-4026-a521-3c84ec53dd0c,20,14.3,12.2,0.0
100,84a62d3d-e402-4adf-a5ff-0532440d49d9,20,9.6,10.2,0.0
100,546fded4-ac0b-4dc0-8697-29e2fd8103d2,20,8.9,8.9,0.0
